"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Antonio Brown (FA)","136","193","1,834","13.5","59","14","10","3","28","0","2","16","314.2","19.6","1.0%"
"2","Julio Jones (FA)","136","203","1,871","13.8","70","15","8","0","0","0","1","16","301.1","18.8","1.0%"
"3","Brandon Marshall (FA)","109","173","1,502","13.8","69","12","14","0","0","0","2","16","284.7","17.8","2.6%"
"4","DeAndre Hopkins (KC)","111","192","1,521","13.7","61","15","11","0","0","0","0","16","275.6","17.2","70.1%"
"5","Odell Beckham Jr. (FA)","96","158","1,450","15.1","87","6","13","1","3","0","0","15","271.3","18.1","1.8%"
"6","Allen Robinson II (DET)","80","151","1,400","17.5","90","18","14","0","0","0","0","16","264.0","16.5","0.1%"
"7","A.J. Green (FA)","86","132","1,297","15.1","80","9","10","0","0","0","1","16","230.7","14.4","1.0%"
"8","Doug Baldwin (FA)","78","103","1,069","13.7","80","9","14","0","0","0","0","16","229.9","14.4","0.0%"
"9","Larry Fitzgerald (FA)","109","145","1,215","11.1","44","16","9","0","0","0","2","16","226.0","14.1","0.9%"
"10","Calvin Johnson (FA)","88","149","1,214","13.8","57","9","9","0","0","0","1","16","217.4","13.6","0.1%"
"11","Demaryius Thomas (FA)","105","177","1,304","12.4","72","7","6","0","0","0","2","16","214.9","13.4","0.1%"
"12","Jarvis Landry (FA)","110","166","1,157","10.5","50","6","4","18","113","1","0","16","214.4","13.4","7.1%"
"13","Eric Decker (FA)","80","132","1,027","12.8","35","14","12","0","0","0","1","15","212.7","14.2","0.6%"
"14","Brandin Cooks (DAL)","84","129","1,138","13.5","71","11","9","8","18","0","0","16","211.6","13.2","14.6%"
"15","Jeremy Maclin (FA)","87","124","1,088","12.5","61","5","8","3","14","0","1","15","199.7","13.3","0.0%"
"16","Allen Hurns (FA)","64","105","1,031","16.1","80","14","10","0","0","0","1","15","193.1","12.9","0.0%"
"17","Sammy Watkins (FA)","60","96","1,047","17.5","63","7","9","1","1","0","0","13","188.8","14.5","0.0%"
"18","Michael Crabtree (FA)","85","146","922","10.8","38","11","9","0","0","0","0","16","188.7","11.8","0.0%"
"19","Jordan Matthews (CAR)","85","128","997","11.7","78","7","8","0","0","0","1","16","188.2","11.8","0.0%"
"20","Emmanuel Sanders (FA)","76","137","1,135","14.9","75","3","6","3","29","0","2","15","186.4","12.4","0.0%"
"21","T.Y. Hilton (FA)","69","134","1,124","16.3","87","8","5","0","0","0","0","16","176.9","11.1","1.6%"
"22","Amari Cooper (BUF)","72","130","1,070","14.9","68","8","6","3","-3","0","1","16","176.7","11.0","71.3%"
"23","John Brown (FA)","65","101","1,003","15.4","68","4","7","3","22","0","1","15","175.0","11.7","0.0%"
"24","Mike Evans (TB)","74","148","1,206","16.3","68","17","3","0","0","0","1","15","173.6","11.6","93.0%"
"25","Tavon Austin (FA)","52","87","473","9.1","66","3","5","52","434","4","2","16","166.7","10.4","0.7%"
"26","James Jones (FA)","50","99","890","17.8","65","8","8","0","0","0","0","16","166.0","10.4","0.0%"
"27","Golden Tate (FA)","90","128","813","9.0","43","4","6","6","41","0","1","16","164.4","10.3","0.0%"
"28","Randall Cobb (FA)","79","129","829","10.5","53","9","6","13","50","0","0","16","163.4","10.2","1.2%"
"29","Ted Ginn Jr. (FA)","44","96","739","16.8","74","4","10","4","60","0","0","15","161.9","10.8","0.0%"
"30","Kamar Aiken (FA)","75","127","944","12.6","48","6","5","0","0","0","1","16","159.9","10.0","0.0%"
"31","Travis Benjamin (FA)","68","125","966","14.2","61","6","5","4","12","0","2","16","157.8","9.9","0.0%"
"32","Rueben Randle (FA)","57","90","797","14.0","72","6","8","0","0","0","0","16","156.2","9.8","0.0%"
"33","Pierre Garcon (FA)","72","111","777","10.8","39","5","6","0","0","0","0","16","149.7","9.4","0.0%"
"34","Willie Snead IV (FA)","69","101","984","14.3","63","9","3","0","0","0","1","15","148.9","9.9","0.0%"
"35","Michael Floyd (FA)","52","89","849","16.3","60","7","6","0","0","0","0","15","146.9","9.8","0.0%"
"36","Martavis Bryant (FA)","50","92","765","15.3","88","4","6","5","37","1","1","11","145.2","13.2","1.2%"
"37","Julian Edelman (FA)","61","88","692","11.3","59","6","7","3","23","0","1","9","142.0","15.8","8.5%"
"38","Marvin Jones Jr. (FA)","65","103","816","12.6","47","7","4","5","33","0","0","16","141.4","8.8","0.0%"
"39","Donte Moncrief (FA)","64","105","733","11.5","33","5","6","0","0","0","0","16","141.3","8.8","0.0%"
"40","Anquan Boldin (FA)","69","111","789","11.4","51","7","4","0","0","0","1","14","135.4","9.7","0.1%"
"41","Alshon Jeffery (FA)","54","94","807","14.9","50","9","4","0","0","0","0","9","131.7","14.6","0.0%"
"42","Markus Wheaton (FA)","44","79","749","17.0","72","3","5","0","0","0","0","16","128.9","8.1","0.0%"
"43","Terrance Williams (FA)","52","93","840","16.2","42","8","3","0","0","0","0","16","128.0","8.0","0.0%"
"44","Keenan Allen (CHI)","67","89","725","10.8","38","5","4","0","0","0","1","8","128.0","16.0","71.2%"
"45","Tyler Lockett (SEA)","51","69","664","13.0","49","6","6","5","20","0","1","16","127.9","8.0","40.1%"
"46","Stefon Diggs (HOU)","52","84","720","13.8","40","5","4","3","13","0","0","13","123.3","9.5","43.0%"
"47","Jermaine Kearse (FA)","49","68","685","14.0","50","8","5","0","0","0","0","16","123.0","7.7","0.0%"
"48","Danny Amendola (FA)","65","87","648","10.0","41","3","3","2","11","0","1","14","115.8","8.3","0.0%"
"49","Nate Washington (FA)","47","94","658","14.0","49","4","4","0","0","0","0","14","113.3","8.1","0.0%"
"50","Rishard Matthews (FA)","43","61","662","15.4","53","6","4","1","4","0","0","11","112.1","10.2","0.0%"
"51","Torrey Smith (FA)","33","62","663","20.1","76","2","4","0","0","0","0","16","108.8","6.8","0.0%"
"52","Steve Smith (FA)","46","73","670","14.6","50","9","3","0","0","0","0","7","108.0","15.4","0.0%"
"53","Cole Beasley (FA)","52","75","536","10.3","30","6","5","0","0","0","2","16","105.6","6.6","0.0%"
"54","Kenny Britt (FA)","36","72","681","18.9","60","5","3","0","0","0","0","16","104.1","6.5","0.0%"
"55","Jamison Crowder (WAS)","59","78","604","10.2","44","5","2","2","2","0","1","16","104.1","6.5","0.1%"
"56","Marques Colston (FA)","45","67","520","11.6","53","5","4","0","0","0","0","13","98.5","7.6","0.0%"
"57","Dorial Green-Beckham (FA)","32","67","549","17.2","47","7","4","0","0","0","0","16","96.9","6.1","0.4%"
"58","Seth Roberts (FA)","32","55","480","15.0","43","1","5","0","0","0","0","16","96.0","6.0","0.0%"
"59","Andre Johnson (FA)","41","77","503","12.3","35","5","4","0","0","0","0","16","94.8","5.9","0.0%"
"60","Robert Woods (HOU)","47","80","552","11.7","37","2","3","1","0","0","1","14","94.7","6.8","0.7%"
"61","Devin Funchess (FA)","31","63","473","15.3","52","2","5","0","0","0","1","16","90.8","5.7","0.0%"
"62","Vincent Jackson (FA)","33","62","543","16.5","36","12","3","0","0","0","0","10","90.8","9.1","0.0%"
"63","Steve Johnson (FA)","45","65","497","11.0","34","5","3","0","0","0","0","10","90.2","9.0","0.0%"
"64","DeSean Jackson (FA)","30","49","528","17.6","77","6","4","0","0","0","1","9","89.8","10.0","0.6%"
"65","Cecil Shorts (FA)","42","75","484","11.5","42","2","2","10","47","0","1","11","88.9","8.1","0.0%"
"66","Corey Brown (FA)","31","54","447","14.4","39","7","4","6","38","0","0","14","88.0","6.3","0.2%"
"67","Jerricho Cotchery (FA)","39","54","485","12.4","59","4","3","1","16","0","0","14","87.6","6.3","0.0%"
"68","Brian Hartline (FA)","46","77","523","11.4","41","2","2","0","0","0","0","12","87.3","7.3","0.0%"
"69","Malcom Floyd (FA)","30","69","561","18.7","70","4","3","0","0","0","1","15","87.1","5.8","0.0%"
"70","Dwayne Harris (FA)","36","57","396","11.0","38","3","4","2","12","0","0","15","82.8","5.5","1.2%"
"71","Dontrelle Inman (FA)","35","63","486","13.9","68","4","3","0","0","0","1","14","82.1","5.9","0.0%"
"72","Davante Adams (NYJ)","50","94","483","9.7","40","4","1","0","0","0","0","13","81.3","6.3","85.5%"
"73","DeVante Parker (FA)","26","50","494","19.0","49","3","3","0","0","0","0","14","80.4","5.7","0.0%"
"74","Mike Wallace (FA)","39","72","473","12.1","34","5","2","1","6","0","0","16","79.4","5.0","0.0%"
"75","Kendall Wright (FA)","36","60","408","11.3","52","3","3","5","17","0","0","10","78.5","7.9","0.0%"
"76","Roddy White (FA)","43","70","506","11.8","25","6","1","0","0","0","0","16","78.1","4.9","0.0%"
"77","Albert Wilson (FA)","35","57","451","12.9","44","3","2","5","26","0","0","14","77.2","5.5","0.0%"
"78","Chris Hogan (FA)","36","59","450","12.5","46","2","2","1","4","0","0","16","75.6","4.7","0.0%"
"79","Kenny Stills (FA)","27","63","440","16.3","47","6","3","0","0","0","0","16","75.5","4.7","0.0%"
"80","Mohamed Sanu Sr. (FA)","33","49","394","11.9","52","7","0","10","71","2","0","16","75.0","4.7","0.0%"
"81","Dez Bryant (FA)","31","72","401","12.9","51","1","3","0","0","0","0","9","73.6","8.2","2.6%"
"82","Brandon Coleman (FA)","30","49","454","15.1","31","8","2","0","0","0","0","16","72.4","4.5","0.0%"
"83","Brandon LaFell (FA)","37","74","515","13.9","54","4","0","2","9","0","0","11","70.9","6.4","0.0%"
"84","Lance Moore (FA)","29","43","337","11.6","42","6","4","0","0","0","1","14","70.2","5.0","0.0%"
"85","Harry Douglas (FA)","36","72","411","11.4","51","1","2","1","-6","0","1","14","68.5","4.9","0.0%"
"86","Marquess Wilson (FA)","28","51","464","16.6","50","3","1","0","0","0","0","11","66.4","6.0","0.0%"
"87","Leonard Hankerson (FA)","26","46","327","12.6","55","2","3","0","0","0","0","10","63.7","6.4","0.0%"
"88","Josh Huff (FA)","27","40","312","11.6","41","1","3","0","0","0","0","15","62.7","4.2","0.0%"
"89","Jarius Wright (FA)","34","50","442","13.0","52","3","0","1","29","0","1","16","62.1","3.9","0.0%"
"90","Quinton Patton (FA)","30","57","394","13.1","41","3","1","1","5","0","0","16","60.9","3.8","0.2%"
"91","Bryan Walters (FA)","32","45","368","11.5","31","5","1","0","0","0","0","11","58.8","5.3","0.0%"
"92","Riley Cooper (FA)","21","41","327","15.6","62","1","2","0","0","0","0","16","55.2","3.5","0.0%"
"93","Darrius Heyward-Bey (FA)","21","39","314","15.0","66","1","2","0","0","0","0","16","53.9","3.4","0.0%"
"94","Chris Givens (FA)","20","54","353","17.7","48","2","1","4","18","0","0","15","53.1","3.5","0.0%"
"95","Jeremy Butler (FA)","31","44","363","11.7","41","4","0","0","0","0","0","8","51.8","6.5","0.0%"
"96","Andre Holmes (FA)","14","33","201","14.4","49","2","4","0","0","0","0","16","51.1","3.2","0.0%"
"97","Ryan Grant (FA)","23","42","268","11.7","35","1","2","0","0","0","0","16","50.3","3.1","0.0%"
"98","Keshawn Martin (FA)","24","37","269","11.2","39","1","2","1","6","0","1","9","49.5","5.5","0.0%"
"99","Eddie Royal (FA)","37","50","238","6.4","30","1","1","1","-1","0","0","9","48.2","5.4","0.0%"
"100","Adam Humphries (FA)","27","40","260","9.6","27","1","1","0","0","0","0","13","45.5","3.5","0.0%"
"101","J.J. Nelson (FA)","11","27","299","27.2","64","3","2","1","0","0","1","11","45.4","4.1","0.0%"
"102","Josh Bellamy (FA)","19","34","224","11.8","48","0","2","0","0","0","0","16","43.9","2.7","0.0%"
"103","Nelson Agholor (BAL)","23","44","283","12.3","53","1","1","0","0","0","1","13","43.8","3.4","1.6%"
"104","Justin Hunter (FA)","22","31","264","12.0","29","4","1","0","0","0","0","9","43.4","4.8","0.0%"
"105","Quincy Enunwa (FA)","22","46","315","14.3","48","5","0","0","0","0","0","12","42.5","3.5","0.0%"
"106","Andrew Hawkins (FA)","27","43","276","10.2","25","2","0","0","0","0","1","8","41.1","5.1","0.0%"
"107","Jaelen Strong (FA)","14","24","161","11.5","42","1","3","0","0","0","0","10","41.1","4.1","0.0%"
"108","Percy Harvin (FA)","19","30","218","11.5","51","2","1","5","31","0","0","5","40.4","8.1","0.1%"
"109","Marc Mariani (FA)","22","33","300","13.6","26","6","0","0","0","0","1","16","39.0","2.4","0.0%"
"110","Taylor Gabriel (FA)","28","48","241","8.6","56","1","0","0","0","0","1","13","38.1","2.9","0.1%"
"111","Phillip Dorsett II (ATL)","18","39","225","12.5","35","3","1","3","17","0","1","11","37.2","3.4","0.0%"
"112","Marqise Lee (FA)","15","32","191","12.7","30","1","1","5","38","0","0","10","36.4","3.6","0.0%"
"113","Greg Jennings (FA)","19","36","208","10.9","31","2","1","0","0","0","0","16","36.3","2.3","0.0%"
"114","De'Anthony Thomas (FA)","17","24","140","8.2","36","1","1","9","34","1","1","10","35.9","3.6","0.0%"
"115","Jeremy Kerley (FA)","16","26","152","9.5","25","2","2","0","0","0","0","16","35.2","2.2","0.0%"
"116","Miles Austin (FA)","13","31","224","17.2","39","2","1","0","0","0","0","11","34.9","3.2","0.0%"
"117","Chris Conley (SF)","17","31","199","11.7","44","1","1","0","0","0","0","16","34.4","2.2","0.1%"
"118","Griff Whalen (FA)","19","26","205","10.8","38","0","1","0","0","0","2","14","32.0","2.3","0.0%"
"119","Brice Butler (FA)","12","26","258","21.5","67","4","0","0","0","0","0","7","31.8","4.5","0.0%"
"120","Jordan Norwood (FA)","22","32","207","9.4","34","0","0","0","0","0","0","11","31.7","2.9","0.0%"
"121","Rashad Greene (FA)","19","35","93","4.9","18","0","2","0","0","0","0","9","30.8","3.4","0.0%"
"122","Javontee Herndon (FA)","24","33","195","8.1","21","1","0","1","13","0","1","8","30.8","3.9","0.0%"
"123","Stedman Bailey (FA)","12","25","182","15.2","68","2","1","0","0","0","0","8","30.2","3.8","0.0%"
"124","Justin Hardy (FA)","21","36","194","9.2","23","2","0","0","0","0","0","9","29.9","3.3","0.0%"
"125","Adam Thielen (CAR)","12","18","144","12.0","30","0","0","4","89","0","0","16","29.3","1.8","55.9%"
"126","Rashad Ross (FA)","8","13","184","23.0","71","1","1","0","0","0","0","13","28.4","2.2","0.0%"
"127","Bennie Fowler III (FA)","16","25","203","12.7","41","0","0","0","0","0","0","16","28.3","1.8","0.0%"
"128","Chris Matthews (FA)","13","25","151","11.6","21","3","1","0","0","0","0","13","27.6","2.1","0.0%"
"129","Jaron Brown (FA)","11","23","144","13.1","39","2","1","0","0","0","0","16","25.9","1.6","0.0%"
"130","Kenbrell Thompkins (FA)","17","33","165","9.7","43","0","0","0","0","0","0","7","25.0","3.6","0.0%"
"131","Louis Murphy (FA)","10","18","198","19.8","54","2","0","0","0","0","0","6","24.8","4.1","0.0%"
"132","Donteea Dye (FA)","11","30","132","12.0","44","0","1","0","0","0","0","10","24.7","2.5","0.0%"
"133","Andre Caldwell (FA)","10","22","72","7.2","24","1","2","1","3","0","0","14","24.5","1.8","0.0%"
"134","T.J. Jones (FA)","10","18","132","13.2","29","3","1","1","-3","0","1","10","21.9","2.2","0.0%"
"135","Aaron Dobson (FA)","13","21","141","10.8","24","1","0","0","0","0","0","8","20.6","2.6","0.0%"
"136","Bruce Ellington (FA)","13","19","153","11.8","44","0","0","1","7","0","1","13","20.5","1.6","0.0%"
"137","Devin Smith (FA)","9","28","115","12.8","22","1","1","0","0","0","1","10","20.0","2.0","0.0%"
"138","Keith Mumphery (FA)","14","32","129","9.2","26","1","0","0","0","0","0","16","19.9","1.2","0.0%"
"139","Jason Avant (FA)","15","24","119","7.9","20","1","0","0","0","0","0","16","19.4","1.2","0.0%"
"140","Andre Roberts (FA)","11","21","135","12.3","38","0","0","0","0","0","0","9","19.0","2.1","0.0%"
"141","Devin Street (FA)","7","13","114","16.3","25","1","1","0","0","0","1","15","18.9","1.3","0.0%"
"142","Darius Jennings (FA)","14","21","117","8.4","16","0","0","0","0","0","0","4","18.7","4.7","0.0%"
"143","Myles White (FA)","7","20","88","12.6","28","2","1","0","0","0","0","12","18.3","1.5","0.0%"
"144","Marlon Brown (FA)","14","30","112","8.0","22","2","0","0","0","0","0","10","18.2","1.8","0.0%"
"145","Marlon Moore (FA)","7","10","81","11.6","20","1","1","0","0","0","0","14","17.6","1.3","0.0%"
"146","Cameron Meredith (FA)","11","16","120","10.9","22","2","0","0","0","0","0","11","17.5","1.6","0.0%"
"147","Charles Johnson (FA)","9","13","127","14.1","35","2","0","0","0","0","0","11","17.2","1.6","0.0%"
"148","Wes Welker (FA)","13","22","102","7.8","14","0","0","0","0","0","0","8","16.7","2.1","0.0%"
"149","Ty Montgomery II (FA)","15","19","136","9.1","31","0","2","3","14","0","0","6","16.4","2.7","0.0%"
"150","Tyrell Williams (FA)","2","6","90","45.0","80","0","1","0","0","0","0","7","16.0","2.3","0.0%"
"151","Jared Abbrederis (FA)","9","16","111","12.3","32","0","0","0","0","0","0","10","15.6","1.6","0.0%"
"152","Bradley Marquez (FA)","13","22","88","6.8","14","0","0","0","0","0","0","16","15.3","1.0","0.0%"
"153","Brian Quick (FA)","10","32","102","10.2","37","0","0","0","0","0","0","13","15.2","1.2","0.0%"
"154","Cody Latimer (FA)","6","11","59","9.8","15","0","1","2","1","0","0","14","15.0","1.1","0.0%"
"155","Ricardo Lockette (FA)","4","7","69","17.3","40","1","1","0","0","0","0","8","14.9","1.9","0.0%"
"156","Brenton Bersin (FA)","9","11","119","13.2","30","0","0","0","0","0","1","9","14.4","1.6","0.0%"
"157","Jerome Simpson (FA)","5","19","54","10.8","16","0","1","0","0","0","0","6","13.9","2.3","0.0%"
"158","Michael Campanaro (FA)","5","6","35","7.0","11","0","0","2","17","1","0","4","13.7","3.4","0.0%"
"159","Lucky Whitehead (FA)","6","8","16","2.7","8","0","0","10","107","0","1","15","13.3","0.9","0.0%"
"160","Brandon Tate (FA)","2","3","59","29.5","55","0","1","0","0","0","0","16","12.9","0.8","0.0%"
"161","Marcus Easley (FA)","1","3","58","58.0","58","0","1","0","0","0","0","13","12.3","0.9","0.0%"
"162","Chris Owusu (FA)","6","13","80","13.3","43","1","0","0","0","0","0","3","11.0","3.7","0.0%"
"163","Russell Shepard (FA)","3","9","28","9.3","18","0","1","0","0","0","0","13","10.3","0.8","0.0%"
"164","Deonte Thompson (FA)","2","3","81","40.5","45","0","0","0","0","0","0","7","9.1","1.3","0.0%"
"165","Jeff Janis (FA)","2","12","79","39.5","46","0","0","0","0","0","0","16","8.9","0.6","0.0%"
"166","Hakeem Nicks (FA)","7","14","54","7.7","19","0","0","0","0","0","0","6","8.9","1.5","0.0%"
"167","Tre McBride III (FA)","2","4","8","4.0","7","0","1","1","8","0","0","7","8.6","1.2","0.0%"
"168","Dwayne Bowe (FA)","5","13","53","10.6","16","0","0","0","0","0","0","7","7.8","1.1","0.0%"
"169","Corey Fuller (FA)","4","9","76","19.0","48","0","0","0","0","0","1","12","7.6","0.6","0.0%"
"170","Jeremy Ross (FA)","9","14","88","9.8","18","0","0","1","2","0","3","11","7.5","0.7","0.0%"
"171","Preston Parker (FA)","5","12","40","8.0","15","0","0","0","0","0","0","2","6.5","3.3","0.0%"
"172","Kevin Smith (FA)","3","5","43","14.3","21","1","0","0","0","0","0","7","5.8","0.8","0.0%"
"173","Greg Salas (FA)","3","5","41","13.7","20","1","0","0","0","0","0","2","5.6","2.8","0.0%"
"174","Terrelle Pryor Sr. (FA)","1","8","42","42.0","42","0","0","1","-1","0","0","3","4.6","1.5","0.0%"
"175","Paul Richardson Jr. (FA)","1","1","40","40.0","40","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"176","Trevor Graham (FA)","4","4","24","6.0","18","0","0","0","0","0","0","4","4.4","1.1","0.0%"
"177","Andrew Turzilli (FA)","2","2","25","12.5","18","0","0","0","0","0","0","3","3.5","1.2","0.0%"
"178","Marquise Goodwin (FA)","2","2","24","12.0","14","0","0","0","0","0","0","2","3.4","1.7","0.0%"
"179","Geremy Davis (FA)","2","3","21","10.5","16","0","0","0","0","0","0","10","3.1","0.3","0.0%"
"180","Chandler Worthy (FA)","3","4","14","4.7","12","0","0","0","0","0","0","3","2.9","1.0","0.0%"
"181","DeAndrew White (FA)","2","2","18","9.0","10","0","0","0","0","0","0","4","2.8","0.7","0.0%"
"182","Vincent Brown (FA)","1","2","22","22.0","22","1","0","0","0","0","0","1","2.7","2.7","0.0%"
"183","Jonathan Krause (FA)","2","4","11","5.5","7","0","0","0","0","0","0","2","2.1","1.1","0.0%"
"184","Tyler Murphy (FA)","1","1","16","16.0","16","0","0","0","0","0","0","2","2.1","1.1","0.0%"
"185","Mario Alford (FA)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"186","Eric Weems (FA)","1","1","11","11.0","11","0","0","1","4","0","0","16","2.0","0.1","0.0%"
"187","Kasen Williams (FA)","1","1","8","8.0","8","0","0","1","5","0","0","2","1.8","0.9","0.0%"
"188","Sammie Coates (FA)","1","2","11","11.0","11","0","0","0","0","0","0","6","1.6","0.3","0.0%"
"189","Ben Edwards (FA)","1","2","9","9.0","9","0","0","0","0","0","0","2","1.4","0.7","0.0%"
"190","Rod Streater (FA)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"191","Brittan Golden (FA)","1","1","5","5.0","5","0","0","0","0","0","0","14","1.0","0.1","0.0%"
"192","Seyi Ajirotutu (FA)","1","3","4","4.0","4","0","0","0","0","0","0","13","0.9","0.1","0.0%"
"193","Tony Washington (FA)","0","0","0","0","0","0","0","1","8","0","0","4","0.8","0.2","0.0%"
"194","Damaris Johnson (FA)","0","0","0","0","0","0","0","1","6","0","0","1","0.6","0.6","0.0%"
"195","Nick Williams (FA)","17","25","159","9.4","29","2","2","0","0","0","0","14","0.0","0.0","0.0%"
"196","Walter Powell (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"197","James Wright (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"198","Matt Hazel (FA)","0","1","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"199","Duke Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"200","B.J. Daniels (FA)","2","2","18","9.0","12","0","0","6","6","0","0","8","0.0","0.0","0.0%"
"201","Saalim Hakim (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"202","Kevin Norwood (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"203","Ryan Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"204","Rico Richardson (FA)","0","5","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"205","Evan Spencer (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"206","Kaelin Clay (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"207","Vince Mayle (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"208","Rannell Hall (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"209","Dezmin Lewis (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"210","Quan Bray (FA)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"211","Seantavius Jones (FA)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"212","Matthew Slater (FA)","0","1","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"213","Devin Hester (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.4%"
"214","Nick Toon (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Joe Morgan (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"216","Kyle Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"217","J.J. Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"218","Chris Harper (FA)","1","3","6","6.0","6","0","0","0","0","0","1","5","-0.9","-0.2","0.0%"
"219","Frankie Hammond (FA)","0","0","0","0","0","0","0","0","0","0","1","9","-2.0","-0.2","0.0%"
"220","Jacoby Jones (FA)","0","0","0","0","0","0","0","0","0","0","1","9","-2.0","-0.2","0.0%"
"221","Denarius Moore (FA)","0","0","0","0","0","0","0","0","0","0","1","6","-2.0","-0.3","0.0%"
"222","Marcus Thigpen (FA)","0","0","0","0","0","0","0","1","-1","0","2","9","-4.1","-0.5","0.0%"
""
""